website,website_url,parent_name,parent_url,parent_display_order,parent_open_method,sub_child_name,sub_child_url,sub_child_display_order,sub_child_activation_method,child_name,child_url,child_display_order,column_number,row_number,hierarchy_level,discovery_method,source_selector,normalized_url,url_missing,is_duplicate,scraped_at,http_status,final_url,redirect_url,response_error,validation_timestamp
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPhone Air,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-air,1,1,1,3,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a.nlabel-f,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-air,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPhone 17e,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-17e,2,1,2,3,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a.nlabel-f,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-17e,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPhone 17 Pro Max,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-17-pro-max,3,1,3,3,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a.nlabel-f,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-17-pro-max,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPhone 17 Pro,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-17-pro,4,1,4,3,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a.nlabel-f,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-17-pro,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPhone 17,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-17,5,1,5,3,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a.nlabel-f,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-17,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPhone 16e,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-16e,6,1,6,3,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-16e,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPhone 16 Pro Max,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-16-pro-max,7,1,7,3,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-16-pro-max,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPhone 16 Pro,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-16-pro,8,1,8,3,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-16-pro,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPhone 16 Plus,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-16-plus,9,1,9,3,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-16-plus,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPhone 16,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-16,10,1,10,3,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-16,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPhone 15 Pro Max,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-15-pro-max,11,1,11,3,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-15-pro-max,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPhone 15 Pro,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-15-pro,12,1,12,3,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-15-pro,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPhone 15 Plus,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-15-plus,13,1,13,3,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-15-plus,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPhone 15,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-15,14,1,14,3,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-15,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPhone 14 Pro Max,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-14-pro-max,15,1,15,3,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-14-pro-max,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPhone 14 Pro,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-14-pro,16,1,16,3,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-14-pro,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPhone 14 Plus,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-14-plus,17,1,17,3,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-14-plus,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPhone 14,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-14,18,1,18,3,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-14,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPhone 13 Pro Max,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-13-pro-max,19,1,19,3,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-13-pro-max,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPhone 13 Pro,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-13-pro,20,1,20,3,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-13-pro,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPhone 13,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-13,21,1,21,3,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-13,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPhone 13 Mini,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-13-mini,22,1,22,3,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-13-mini,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPhone 12 Pro Max,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-12-pro-max,23,1,23,3,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-12-pro-max,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPhone 12 Pro,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-12-pro,24,1,24,3,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-12-pro,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPhone 12,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-12,25,1,25,3,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-12,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPhone 12 Mini,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-12-mini,26,1,26,3,dom-inspection,ul.level0.slayouts-menu > li > ul.sview-inul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/iphones/iphone-12-mini,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPad 11 (2025),https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/ipad/ipad-air/ipad/ipad-11-2025,27,1,27,3,dom-inspection,ul.sview-inul > li.sview-full > ul > li.sview-row > ul > li > a.nlabel-f,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/ipad/ipad-air/ipad/ipad-11-2025,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,"iPad Air 13"" (2026)",https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/ipad-air/ipad-air-13-2026,28,1,28,3,dom-inspection,ul.sview-inul > li.sview-full > ul > li.sview-row > ul > li > a.nlabel-f,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/ipad-air/ipad-air-13-2026,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,"iPad Air 11"" (2026)",https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/ipad-air/ipad-air-11-2026,29,1,29,3,dom-inspection,ul.sview-inul > li.sview-full > ul > li.sview-row > ul > li > a.nlabel-f,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/ipad-air/ipad-air-11-2026,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPad Air 13” (2025),https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/ipad-air/ipad-air-13-2025,30,1,30,3,dom-inspection,ul.sview-inul > li.sview-full > ul > li.sview-row > ul > li > a.nlabel-f,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/ipad-air/ipad-air-13-2025,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPad Air 11” (2025),https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/ipad-air/ipad-air-11-2025,31,1,31,3,dom-inspection,ul.sview-inul > li.sview-full > ul > li.sview-row > ul > li > a.nlabel-f,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/ipad-air/ipad-air-11-2025,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPad Air 13” (2024),https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/ipad-air/ipad-air-13-2024,32,1,32,3,dom-inspection,ul.sview-inul > li.sview-full > ul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/ipad-air/ipad-air-13-2024,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPad Air 11” (2024),https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/ipad-air/ipad-air-11-2024,33,1,33,3,dom-inspection,ul.sview-inul > li.sview-full > ul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/ipad-air/ipad-air-11-2024,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,"iPad Pro 13"" 8th Gen (2025)",https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/ipad-pro/ipad-pro-13-8th-gen-2025,34,1,34,3,dom-inspection,ul.sview-inul > li.sview-full > ul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/ipad-pro/ipad-pro-13-8th-gen-2025,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,"iPad Pro 11"" 6th Gen (2025)",https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/ipad-pro/ipad-pro-11-8th-gen-2025,35,1,35,3,dom-inspection,ul.sview-inul > li.sview-full > ul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/ipad-pro/ipad-pro-11-8th-gen-2025,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPad Pro 13” 7th Gen (2024),https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/ipad-pro/ipad-pro-13-7th-gen-2024,36,1,36,3,dom-inspection,ul.sview-inul > li.sview-full > ul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/ipad-pro/ipad-pro-13-7th-gen-2024,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPad Pro 11” 5th Gen (2024),https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/ipad-pro/ipad-pro-11-5th-gen-2024,37,1,37,3,dom-inspection,ul.sview-inul > li.sview-full > ul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/ipad-pro/ipad-pro-11-5th-gen-2024,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,iPad Mini 7 (2024),https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/ipad-mini/ipad-mini-7-2025,38,1,38,3,dom-inspection,ul.sview-inul > li.sview-full > ul > li.sview-row > ul > li > a.nlabel-f,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/ipad-mini/ipad-mini-7-2025,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,"Air 15"" (2026)",https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-air/macbook-air-15-a3448-2026-m5,39,1,39,3,dom-inspection,ul.sview-inul > li.sview-full > ul > li.sview-row > ul > li > a.nlabel-f,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-air/macbook-air-15-a3448-2026-m5,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,"Air 13"" (2026)",https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-air/macbook-air-13-a3449-2026-m5,40,1,40,3,dom-inspection,ul.sview-inul > li.sview-full > ul > li.sview-row > ul > li > a.nlabel-f,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-air/macbook-air-13-a3449-2026-m5,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,"Air 15"" (2025)",https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-air/air-15-a3241-2025-m4,41,1,41,3,dom-inspection,ul.sview-inul > li.sview-full > ul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-air/air-15-a3241-2025-m4,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,"Air 13"" (2025)",https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-air/air-13-a3240-2025-m4,42,1,42,3,dom-inspection,ul.sview-inul > li.sview-full > ul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-air/air-13-a3240-2025-m4,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,Air 13” (2024),https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-air/air-13-a3113-2024-2025,43,1,43,3,dom-inspection,ul.sview-inul > li.sview-full > ul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-air/air-13-a3113-2024-2025,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,Air 13” (2022),https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-air/air-13-a2681-2022-2024,44,1,44,3,dom-inspection,ul.sview-inul > li.sview-full > ul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-air/air-13-a2681-2022-2024,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,Air 13” (2020),https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-air/air-13-a2337-2020-2022,45,1,45,3,dom-inspection,ul.sview-inul > li.sview-full > ul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-air/air-13-a2337-2020-2022,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,Air 15” (2024),https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-air/air-15-a3114-2023-2024,46,1,46,3,dom-inspection,ul.sview-inul > li.sview-full > ul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-air/air-15-a3114-2023-2024,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,Air 15” (2023),https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-air/macbook-air-15-a2941-2023,47,1,47,3,dom-inspection,ul.sview-inul > li.sview-full > ul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-air/macbook-air-15-a2941-2023,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,Pro 16” (2026),https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-pro/macbook-pro-16-2026-m5-pro-max,48,1,48,3,dom-inspection,ul.sview-inul > li.sview-full > ul > li.sview-row > ul > li > a.nlabel-f,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-pro/macbook-pro-16-2026-m5-pro-max,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,Pro 14” (2026),https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-pro/macbook-pro-14-2026-m5-pro-max,49,1,49,3,dom-inspection,ul.sview-inul > li.sview-full > ul > li.sview-row > ul > li > a.nlabel-f,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-pro/macbook-pro-14-2026-m5-pro-max,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,Pro 14” (2025),https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-pro/macbook-pro-14-a3434-2025-m5,50,1,50,3,dom-inspection,ul.sview-inul > li.sview-full > ul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-pro/macbook-pro-14-a3434-2025-m5,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,Pro 16” (2024),https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-pro/pro-16-a3403-2024-2025,51,1,51,3,dom-inspection,ul.sview-inul > li.sview-full > ul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-pro/pro-16-a3403-2024-2025,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,Pro 14” (2024),https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-pro/pro-14-a3185-2024-2025,52,1,52,3,dom-inspection,ul.sview-inul > li.sview-full > ul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-pro/pro-14-a3185-2024-2025,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,Pro 14” (2024),https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-pro/pro-14-a3112-2024-2025,53,1,53,3,dom-inspection,ul.sview-inul > li.sview-full > ul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-pro/pro-14-a3112-2024-2025,False,False,2026-09-07T04:44:56+00:00,,,,,
MobileSentrix,https://www.mobilesentrix.com/,Apple,,1,click,Genuine Apple Parts,,1,dom-inspection,Pro 16” (2023),https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-pro/pro-16-a2991-2023-2024,54,1,54,3,dom-inspection,ul.sview-inul > li.sview-full > ul > li.sview-row > ul > li > a,https://www.mobilesentrix.com/replacement-parts/apple/genuine-apple-parts/genuine-macbook-replacement-parts/macbook-pro/pro-16-a2991-2023-2024,False,False,2026-09-07T04:44:56+00:00,,,,,
